trade_date,code,close,low,high,volume,amount,vwap,ratio,matched_factor,matched_after,matched_before
1992-07-02,600602.SH,2172.5,2139.75,2172.75,607200.0,13044000.0,21.482213,0.009888,0.01,1991-01-03,1992-12-01
1992-07-02,600603.SH,360.75,359.75,364.0,146000.0,5272000.0,36.109589,0.100096,0.1,1992-05-08,1992-12-01
1992-07-02,600604.SH,255.0,253.25,263.0,170600.0,4373000.0,25.63306,0.100522,0.1,1992-05-11,1992-12-01
1992-07-02,600605.SH,172.0,169.75,176.0,122600.0,2115000.0,17.251223,0.100298,0.1,1992-05-13,1992-12-01
1992-07-02,600606.SH,219.0,210.0,225.0,238200.0,5212000.0,21.880772,0.099912,0.1,1992-05-21,1992-12-01
1992-07-02,600608.SH,210.0,208.0,218.0,609100.0,12915000.0,21.203415,0.100969,0.1,1992-05-21,1992-12-01
1992-07-02,600651.SH,395.0,333.0,395.03,346400.0,13203000.0,38.114896,0.096493,0.1,1991-09-02,1992-12-01
1992-07-02,600653.SH,380.0,370.5,384.75,235500.0,8876000.0,37.690021,0.099184,0.1,1992-04-01,1992-12-01
1992-07-02,600654.SH,177.9,173.6,178.95,216000.0,3802000.0,17.601852,0.098942,0.1,1992-06-01,1992-12-01
1992-07-03,000017.SZ,23.3,22.4,23.5,101700.0,11777000.0,115.801377,4.970016,5.0,1992-04-01,1993-05-01
1992-07-03,600601.SH,174.5,167.25,176.0,259400.0,4466000.0,17.216654,0.098663,0.1,1991-07-01,1992-12-01
1992-07-03,600602.SH,2174.0,2160.0,2197.5,905300.0,19656000.0,21.71214,0.009987,0.01,1991-01-03,1992-12-01
1992-07-03,600603.SH,362.98,360.0,365.25,490100.0,17764000.0,36.245664,0.099856,0.1,1992-05-08,1992-12-01
1992-07-03,600604.SH,251.8,250.0,256.5,247200.0,6241000.0,25.246764,0.100265,0.1,1992-05-11,1992-12-01
1992-07-03,600605.SH,172.5,170.0,174.25,165400.0,2845000.0,17.200726,0.099714,0.1,1992-05-13,1992-12-01
1992-07-03,600606.SH,221.0,215.0,222.0,233000.0,5111000.0,21.935622,0.099256,0.1,1992-05-21,1992-12-01
1992-07-03,600608.SH,209.75,208.1,214.0,479400.0,10083000.0,21.032541,0.100274,0.1,1992-05-21,1992-12-01
1992-07-03,600651.SH,401.0,375.0,415.0,837200.0,33427000.0,39.927138,0.099569,0.1,1991-09-02,1992-12-01
1992-07-03,600653.SH,390.5,379.5,395.0,412100.0,16028000.0,38.893472,0.099599,0.1,1992-04-01,1992-12-01
1992-07-03,600654.SH,185.0,179.25,185.5,518900.0,9534000.0,18.373482,0.099316,0.1,1992-06-01,1992-12-01
1992-07-06,000017.SZ,22.6,22.2,24.15,147300.0,17192000.0,116.714189,5.164345,5.0,1992-04-01,1993-05-01
1992-07-06,600601.SH,176.5,174.05,182.0,499300.0,8919000.0,17.863008,0.101207,0.1,1991-07-01,1992-12-01
1992-07-06,600602.SH,2219.5,2141.0,2245.0,622700.0,13660000.0,21.936727,0.009884,0.01,1991-01-03,1992-12-01
1992-07-06,600603.SH,410.0,352.25,415.0,720100.0,28762000.0,39.941675,0.097419,0.1,1992-05-08,1992-12-01
1992-07-06,600604.SH,252.75,250.0,260.0,434600.0,10993000.0,25.294524,0.100077,0.1,1992-05-11,1992-12-01
1992-07-06,600605.SH,174.75,169.0,178.5,195700.0,3419000.0,17.470618,0.099975,0.1,1992-05-13,1992-12-01
1992-07-06,600606.SH,207.28,203.75,220.5,91300.0,1906000.0,20.876232,0.100715,0.1,1992-05-21,1992-12-01
1992-07-06,600608.SH,197.5,197.5,212.0,321900.0,6484000.0,20.142902,0.101989,0.1,1992-05-21,1992-12-01
1992-07-06,600651.SH,370.0,350.0,389.0,357000.0,13246000.0,37.103641,0.10028,0.1,1991-09-02,1992-12-01
1992-07-06,600653.SH,504.0,445.0,560.0,1149300.0,57158000.0,49.732881,0.098676,0.1,1992-04-01,1992-12-01
1992-07-06,600654.SH,190.5,187.2,340.75,585800.0,11245000.0,19.195971,0.100766,0.1,1992-06-01,1992-12-01
1992-07-07,000017.SZ,23.0,22.5,23.4,62300.0,7171000.0,115.104334,5.004536,5.0,1992-04-01,1993-05-01
1992-07-07,600601.SH,178.0,174.0,180.0,278600.0,4929000.0,17.692032,0.099393,0.1,1991-07-01,1992-12-01
1992-07-07,600602.SH,2194.05,2182.5,2250.0,816400.0,17922000.0,21.952474,0.010005,0.01,1991-01-03,1992-12-01
1992-07-07,600603.SH,428.25,374.0,442.0,723600.0,31053000.0,42.914594,0.100209,0.1,1992-05-08,1992-12-01
1992-07-07,600604.SH,255.5,245.0,258.0,521700.0,13147000.0,25.200307,0.098631,0.1,1992-05-11,1992-12-01
1992-07-07,600605.SH,172.0,170.0,175.25,154800.0,2661000.0,17.189922,0.099941,0.1,1992-05-13,1992-12-01
1992-07-07,600606.SH,197.5,194.25,206.0,165300.0,3299000.0,19.957653,0.101051,0.1,1992-05-21,1992-12-01
1992-07-07,600608.SH,196.5,191.95,201.0,323700.0,6300000.0,19.462465,0.099046,0.1,1992-05-21,1992-12-01
1992-07-07,600651.SH,384.0,361.0,390.5,514400.0,19353000.0,37.622473,0.097975,0.1,1991-09-02,1992-12-01
1992-07-07,600653.SH,538.0,499.0,556.5,874600.0,47231000.0,54.002973,0.100377,0.1,1992-04-01,1992-12-01
1992-07-07,600654.SH,190.0,185.0,192.0,386000.0,7281000.0,18.862694,0.099277,0.1,1992-06-01,1992-12-01
1992-07-08,000017.SZ,23.2,22.7,23.2,70200.0,8104000.0,115.441595,4.975931,5.0,1992-04-01,1993-05-01
1992-07-08,600601.SH,177.0,177.0,184.0,389400.0,7001000.0,17.978942,0.101576,0.1,1991-07-01,1992-12-01
1992-07-08,600602.SH,2200.0,2100.55,2232.5,887700.0,19547000.0,22.019827,0.010009,0.01,1991-01-03,1992-12-01
1992-07-08,600603.SH,408.75,357.75,448.1,442800.0,18328000.0,41.391147,0.101263,0.1,1992-05-08,1992-12-01
1992-07-08,600604.SH,251.0,250.0,258.5,364700.0,9231000.0,25.311215,0.100841,0.1,1992-05-11,1992-12-01
1992-07-08,600605.SH,172.0,168.0,174.0,279600.0,4777000.0,17.085122,0.099332,0.1,1992-05-13,1992-12-01
