时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
93000840,0,784331,0,B,120600,2100
93000840,0,784464,0,S,125600,500
93000840,0,785080,0,S,126600,1000
93000840,0,785637,0,B,121000,100
93000840,0,785892,0,B,122500,1000
93000840,0,786172,0,B,122600,500
93000840,0,786207,0,S,124000,900
93000840,0,786294,0,B,121900,200
93000850,0,786963,0,B,122100,900
93000860,0,788675,0,B,119000,1000
93000860,0,789171,0,S,130000,2400
93000860,0,789442,0,B,120000,200
93000870,0,790510,0,B,119500,800
93000870,0,790707,0,B,120000,1000
93000880,0,791429,0,B,122000,1000
93000880,0,791540,0,B,121200,2000
93000890,0,793440,0,B,120400,400
93000890,0,793868,0,B,122100,2700
93000890,0,793948,0,B,121000,1000
93000890,0,794087,0,S,124200,2300
93000900,0,794181,0,B,122100,600
93000900,0,794207,0,S,121500,400
93000900,0,794390,0,B,120700,400
93000900,0,794444,0,S,123500,700
93000900,0,794779,0,B,119200,300
93000900,0,794792,0,B,120000,2000
93000900,0,795422,0,B,110300,500
93000910,0,795708,0,S,125100,3000
93000910,0,795815,0,B,119000,91800
93000910,0,795998,0,S,129900,200
93000910,0,796082,0,B,120200,100
93000910,0,796310,0,S,124500,100
93000910,0,796613,0,S,123900,1000
93000910,0,796884,0,B,118200,1000
93000910,0,796942,0,B,120600,1000
93000910,0,797280,0,B,122100,4000
93000910,0,797324,0,B,121900,7400
93000920,0,798068,0,S,132000,400
93000920,0,798089,0,B,119800,300
93000930,0,799219,0,S,122800,300
93000930,0,799529,0,B,122500,2000
93000940,0,800545,0,S,122400,100
93000940,0,800563,0,B,122200,100
93000940,0,800573,0,B,120800,1300
93000940,0,801194,0,B,122000,1000
93000940,0,801652,0,S,122000,2000
93000940,0,801659,0,S,124400,1000
93000950,0,801785,0,S,132800,700
93000950,0,802628,0,S,122400,1300
93000950,0,803003,0,B,120600,200
93000960,0,803239,0,B,118300,500
93000960,0,803575,0,B,122100,200
93000960,0,803689,0,S,129000,4600
93000960,0,803998,0,B,122000,1000
93000970,0,804716,0,S,121800,1600
93000980,0,805827,0,B,122200,500
93000980,0,805871,0,S,124900,1000
93000980,0,806164,0,B,122000,100
93000980,0,806459,0,S,122400,100
93000990,0,806925,0,B,120000,6700
93000990,0,806979,0,B,121600,2000
93000990,0,807503,0,B,115000,1000
93001000,0,807788,0,B,120200,2000
93001000,0,807989,0,B,122500,200
93001010,0,809978,0,B,119100,15500
93001010,0,810152,0,S,126000,500
93001010,0,810357,0,S,129900,300
93001020,0,811081,0,B,121500,5000
93001020,0,811983,0,B,120100,1000
93001020,0,812316,0,B,119000,3000
93001020,0,812477,0,S,124400,3000
93001020,0,812656,0,B,122000,1000
93001030,0,812747,0,S,122600,300
93001030,0,812772,0,B,120500,700
93001030,0,812990,0,B,122100,200
93001030,0,813177,0,S,122000,1400
93001030,0,813180,0,B,121000,1000
93001030,0,814418,0,B,119500,20000
93001040,0,814975,0,B,116300,500
93001040,0,815208,0,S,122900,1500
93001050,0,817151,0,S,122400,400
93001060,0,818392,0,B,122100,1000
93001060,0,818716,0,S,125600,200
93001060,0,818809,0,S,130000,1000
93001060,0,818992,0,B,123000,200
93001060,0,819401,0,S,134500,200
93001070,0,819484,0,B,120500,1000
93001070,0,820642,0,B,121100,1000
93001080,0,821350,0,B,120100,1000
93001080,0,821896,0,S,123000,2800
93001080,0,821969,0,B,122000,200
93001090,0,823458,0,S,134300,1100
93001100,0,823900,0,B,120000,1000
93001110,0,824921,0,B,118100,1000
93001110,0,825420,0,B,120200,1000
93001110,0,825703,0,B,121600,800
93001110,0,825726,0,S,134100,500
93001110,0,825934,0,S,131100,2000
93001110,0,826113,0,B,120500,900
93001110,0,826121,0,B,120500,2000
93001120,0,826774,0,B,119800,5000
93001120,0,827255,0,S,128100,200
93001120,0,827493,0,S,123900,5000
93001140,0,828780,0,B,120900,3100
93001140,0,828988,0,S,130000,200
93001140,0,829173,0,S,122000,20000
93001140,0,829275,0,S,122800,1000
93001170,0,831816,0,S,122500,3600
93001170,0,832702,0,S,127800,1500
93001180,0,833139,0,B,120000,1000
93001190,0,834206,0,S,125400,1000
93001210,0,836404,0,B,122500,400
93001230,0,838148,0,B,119500,500
93001230,0,838737,0,S,123500,2000
93001250,0,840050,0,B,121900,400
93001260,0,840898,0,B,122600,500
93001270,0,841392,0,S,122300,700
93001270,0,841607,0,S,122300,3900
93001280,0,841953,0,S,127500,4500
93001300,0,843817,0,B,122000,500
93001320,0,845451,0,S,127300,400
93001330,0,845927,0,S,128700,1000
93001340,0,847025,0,S,126800,4800
93001350,0,848281,0,B,122100,200
93001350,0,848379,0,B,115000,3800
93001350,0,848385,0,B,119100,100
93001350,0,848466,0,S,127900,3200
93001360,0,849108,0,S,124000,1000
93001360,0,849542,0,B,120000,4000
93001370,0,849998,0,B,117000,10000
93001370,0,850228,0,B,117100,1000
93001370,0,850246,0,B,122000,300
93001380,0,851456,0,B,120100,1000
93001380,0,851520,0,B,120100,100
93001380,0,851521,0,B,117700,1800
93001390,0,852109,0,S,134900,30000
93001400,0,852445,0,B,121300,500
93001400,0,852868,0,S,134900,100
93001400,0,852873,0,S,130000,100
93001400,0,852895,0,B,120000,2000
93001410,0,853675,0,B,120100,6400
93001410,0,853732,0,B,121000,12400
93001410,0,853762,0,S,122000,200
93001420,0,853950,0,S,131500,50100
93001430,0,854869,0,B,122100,800
93001430,0,855066,0,S,122000,300
93001450,0,856708,0,S,124000,8800
93001450,0,856747,0,B,120800,1000
93001450,0,856760,0,B,121600,100
93001450,0,857030,0,S,122500,100
93001450,0,857124,0,S,122400,300
93001450,0,857245,0,S,122500,100
93001460,0,858457,0,B,120000,2000
93001490,0,860289,0,B,122700,700
93001490,0,860515,0,B,122500,800
93001500,0,860791,0,B,120600,4500
93001500,0,860809,0,S,121800,200
93001500,0,860868,0,B,117600,800
93001500,0,861088,0,S,122400,200
93001500,0,861146,0,B,120100,1000
93001500,0,861171,0,S,125100,2000
93001510,0,861820,0,B,122500,200
93001510,0,861967,0,S,128200,1000
93001530,0,863473,0,B,120000,800
93001540,0,863598,0,B,120200,2000
93001560,0,865165,0,B,122100,1600
93001560,0,865272,0,S,124200,1500
93001580,0,866781,0,B,119100,500
93001580,0,866903,0,B,121000,500
93001590,0,867622,0,B,118600,200
93001590,0,868093,0,S,123000,2300
93001600,0,868752,0,B,122500,200
93001600,0,868772,0,S,124600,1400
93001610,0,869173,0,B,122000,100
93001610,0,869195,0,B,116000,200
93001610,0,869292,0,B,114000,300
93001610,0,869703,0,S,130000,300
93001620,0,870096,0,S,122000,500
93001630,0,870976,0,B,116500,50000
93001630,0,871076,0,S,128900,1000
93001640,0,871394,0,B,122000,1000
93001640,0,871429,0,B,120000,1000
93001660,0,872938,0,S,124000,2000
93001660,0,873338,0,B,122000,400
93001680,0,874516,0,B,120500,900
93001690,0,876117,0,S,123000,200
93001700,0,876336,0,S,122900,100
93001700,0,876411,0,S,122900,200
93001700,0,876414,0,S,122900,1600
93001700,0,876668,0,S,122900,200
93001710,0,877120,0,S,122900,700
93001710,0,877128,0,S,122900,300
93001710,0,877240,0,S,122900,1200
93001710,0,877252,0,S,122900,200
93001710,0,877265,0,S,122900,100
93001710,0,877273,0,S,122800,100
93001710,0,877322,0,S,122900,300
93001720,0,878959,0,B,119000,400
93001740,0,880654,0,S,129400,200
93001740,0,880689,0,B,122900,6900
93001740,0,880917,0,S,123000,200
93001750,0,881419,0,S,122900,100
93001750,0,881500,0,S,122900,400
93001750,0,882058,0,B,120000,100
93001750,0,882077,0,S,124400,5000
93001760,0,882769,0,S,122200,600
93001770,0,883324,0,B,120100,1000
93001770,0,883769,0,S,123000,200
93001780,0,883975,0,B,121100,100
93001780,0,884113,0,B,122000,1000
93001780,0,884234,0,S,125500,1000
93001780,0,884346,0,B,122000,3300
93001780,0,884469,0,B,119200,100
93001800,0,885587,0,S,128800,2000
93001800,0,885640,0,S,122000,1000
93001820,0,886590,0,B,121000,500
93001820,0,886791,0,B,120500,100
93001830,0,886924,0,B,120000,700
93001830,0,887525,0,B,122500,1000
93001830,0,887619,0,B,122400,600
93001830,0,887674,0,S,129000,300
93001840,0,887998,0,B,122500,100
93001840,0,888825,0,S,134900,500
93001870,0,890478,0,B,122500,800
93001870,0,890910,0,S,124200,900
93001880,0,891260,0,S,122000,100
93001890,0,892243,0,B,118500,700
93001890,0,892288,0,B,119800,2400
93001900,0,892839,0,B,118800,3000
